a,b,c,size,symbol,opacity,fill,stroke,title
34.7,18.7,46.7,120,circle,1,#fee6ce,#fee6ce,AT1
100,0,0,120,circle,1,#fdae6b,#fdae6b,AT2
15,32.2,52.8,120,circle,1,#fd8d3c,#fd8d3c,AT3
40.4,6.1,53.5,120,circle,1,#d94801,#d94801,AT4
64.6,5.7,29.7,120,circle,1,#a63603,#a63603,AT5
47.1,9.5,43.5,120,square,1,#edf8b1,#edf8b1,NE1
39.5,14.2,46.3,120,square,1,#7fcdbb,#7fcdbb,NE2
9.7,36.8,53.5,120,square,1,#1d91c0,#1d91c0,NE3
57.8,6.3,35.9,120,square,1,#253494,#253494,NE4
93.3,0,6.7,120,triangle,1,#fcc5c0,#fcc5c0,NG1
69.9,8,22.1,120,triangle,1,#f768a1,#f768a1,NG2
85.5,0,14.5,120,triangle,1,#ae017e,#ae017e,NG3
