Time (min),AT4,AT4,NE1,NE1,NE2,NE2,NG1,NG1,NG3,NG3,Polytmyxin B,Polytmyxin B,Levofloxacin,Levofloxacin
1,66.443,12.098,67.399,10.255,53.246,9.446,57.233,14.745,59.986,17.921,44.045,9.091,47.756,10.109
2,67.126,10.072,65.49,10.492,51.036,9.326,57.065,14.318,58.085,16.966,42.243,8.608,43.84,10.106
3,59.053,10.956,64.393,9.107,50.983,8.134,54.94,14.156,56.013,15.461,44.62,8.309,40.727,9.95
4,51.326,9.143,56.798,9.353,46.681,7.689,55.259,13.262,52.242,14.25,42.751,8.117,37.825,8.444
5,42.844,11.646,46.632,8.905,43.463,7.33,51.166,12.859,44.078,12.391,41.007,8.086,33.011,8.549
6,47.086,8.57,33.842,7.994,40.638,6.37,50.079,12.524,39.925,11.984,43.098,7.818,33.524,7.861
7,45.525,7.878,27.804,6.385,36.555,5.151,48.201,10.834,34.919,9.981,41.36,7.095,32.358,5.799
8,34.552,8.685,24.261,9.486,30.798,5.199,47.957,11.142,29.682,7.668,42.307,6.35,31.644,6.13
9,30.962,7.979,23.065,4.682,27.549,6.331,45.672,11.559,21.085,7.455,42.407,6.187,29.495,5.264
10,18.614,5.231,12.686,4.716,23.67,3.66,43.017,10.153,22.115,12.622,41.668,5.933,26.739,5.053
11,34.892,11.92,11.874,7.217,19.321,4.423,40.46,9.717,12.976,6.565,41.693,4.827,26.544,3.791
12,21.737,5.595,17.29,3.157,14.165,3.65,42.174,9.528,17.357,11.236,44.558,6.365,26.503,4.548
13,22.617,7.541,-0.261,2.641,9.624,3.045,38.533,9.512,9.001,3.783,41.036,5.978,23.819,4.077
14,25.835,4.105,5.219,2.204,5.123,5.694,38.404,9.112,6.048,3.724,42.203,5.777,21.37,2.922
15,29.877,10.895,-0.814,3.098,6.193,3.449,36.32,9.118,5.88,11.525,41.263,6.409,21.326,3.576
16,21.757,7.111,4.426,3.187,5.034,4.696,35.332,8.686,0.636,7.1,43.342,6.136,21.469,2.822
17,30.521,10.836,4.296,4.261,1.258,4.525,33.617,8.613,-2.198,5.834,42.67,5.889,20.416,3.441
18,23.696,10.604,4.154,3.197,-2.311,2.082,33.934,7.754,-0.966,5.325,42.858,6.607,19.005,3.993
19,25.387,9.328,-5.248,7.309,-5.099,3.587,30.989,8.137,0.777,7.9,41.728,7.255,18.147,3.809
20,25.405,7.539,0.135,4.159,-4.691,2.126,31.114,7.814,-5.146,9.979,43.318,6.465,18.181,2.533
21,16.471,2.445,-1.452,2.648,-5.82,3.128,31.88,7.314,-2.201,4.482,46.278,5.984,20.611,2.609
22,25.966,4.819,-7.8,5.173,-8.359,4.764,30.425,8.507,-12.387,8.225,43.474,7.666,16.379,5.62
23,31.842,8.489,-1.049,4.256,-8.963,3.909,30.566,8.785,-11.129,7.141,46.387,7.474,18.719,5.187
24,26.108,5.466,-5.89,6.638,-14.462,3.824,25.673,7.854,-10.506,6.523,41.833,7.02,16.132,4.7
25,31.089,8.222,-2.877,5.852,-13.528,5.307,26.272,8.784,-7.439,11.11,43.225,9.262,16.272,5.863
26,26.581,6.263,-12.988,3.845,-19.114,2.58,20.368,7.839,-11.631,8.799,38.685,7.376,10.645,4.186
27,27.715,5.633,-3.966,7.283,-15.547,2.187,25.51,7.797,-5.452,9.188,44.222,6.826,13.91,4.029
28,28.561,7.081,-9.523,8.204,-16.485,2.073,27.429,8.282,-8.878,11.676,46.623,8.117,18.266,5.774
29,36.012,5.876,-1.975,2.931,-17.183,2.652,23.897,7.572,-12.845,5.1,43.664,7.082,13.726,3.923
30,25.876,8.763,-8.688,6.184,-25.077,2.749,24.267,7.663,-15.498,5.791,43.783,7.281,17.223,4.841
31,27.824,6.639,-9.294,4.114,-20.061,3.038,23.514,7.847,-14.944,9.862,44.884,7.491,13.118,5.283
32,25.348,2.97,-5.297,4.393,-25.012,2.505,19.925,7.639,-15.544,9.426,41.726,7.292,12.212,4.228
33,27.513,10.051,-8.832,1.074,-24.17,3.186,21.052,7.288,-14.14,11.157,43.148,7.569,11.614,4.956
34,33.594,4.181,3.02,6.13,-22.109,1.628,23.801,7.318,-11.645,7.324,47.158,7.15,13.633,4.583
35,26.087,7.159,-6.579,4.203,-24.883,3.869,21.683,7.414,-11.068,8.094,46.96,7.129,11.319,5.982
36,23.662,7.116,-3.198,4.019,-25.611,3.67,24.11,9.2,-9.696,6.431,49.34,9.383,16.687,6.776
37,35.209,5.62,-4.106,3.688,-26.495,4.424,21.645,7.91,-9.745,9.77,47.863,8.286,16.897,5.178
38,18.858,10.891,-8.84,4.248,-32.8,3.476,13.674,8.885,-17.932,8.13,39.198,8.75,6.041,6.777
39,39.771,5.735,-9.21,4.45,-24.439,2.624,21.149,8.283,-5.946,8.199,47.575,8.226,13.734,5.815
40,19.916,4.741,-17.166,6.524,-29.341,4.141,15.727,9.028,-14.079,10.488,42.169,9.367,9.102,6.386
41,28.319,9.154,-7.212,7.26,-30.563,5.164,19.481,10.527,-14.485,11.117,46.891,11.464,12.099,10.942
42,23.305,11.969,-1.134,9.294,-30.389,4.738,17.739,9.586,-15.841,12.416,44.814,10.777,9.047,8.39
43,23.341,8.749,-7.445,7.073,-34.161,3.437,12.717,8.222,-16.024,9.284,37.911,7.854,4.945,6.925
44,33.96,3.92,-6.872,6.717,-32.982,4.149,16.8,8.24,-16.387,8.107,45.021,8.383,9.648,6.265
45,20.159,8.335,-9.209,4.371,-33.062,4.92,13.471,9.325,-17.133,9.9,41.871,9.955,6.166,7.582
46,28.168,3.313,22.781,4.008,35.912,2.7,31.773,7.278,35.277,9.985,32.426,2.977,29.924,4.836
47,26.146,5.022,23.12,3.776,28.549,3.567,29.342,7.078,30.161,7.704,29.932,3.842,26.259,6.252
