Time (min),AT4,AT4,NE1,NE1,NE2,NE2,NG1,NG1,NG3,NG3,Polymyxin B,Polymyxin B,Levofloxacin,Levofloxacin
1,-31.176,4.171,-24.867,6.037,-19.447,3.327,-16.375,4.645,-31.06,4.105,-30.132,2.902,-35.253,3.072
2,-28.759,6.228,-26.031,5.439,-19.979,5.121,-22.851,5.438,-30.031,4.278,-32.554,3.464,-37.077,6.617
3,-34.223,2.715,-29.316,3.311,-26.216,2.306,-27.162,3.013,-35.505,4.206,-36.871,3.011,-41.021,4.222
4,-36.627,2.758,-30.838,4.325,-26.496,2.28,-26.235,3.715,-39.042,2.438,-40.359,1.998,-43.515,3.494
5,-38.532,3.665,-34.677,3.044,-29.904,2.251,-26.846,3.248,-40.236,2.378,-41.47,1.377,-42.344,3.338
6,-39.764,3.386,-33.967,4.387,-28.149,3.156,-28.227,4.743,-39.077,2.744,-41.722,3.398,-42.78,3.723
7,-35.885,2.254,-33.471,3.441,-26.94,2.45,-27.627,2.644,-36.832,2.883,-38.417,2.234,-43.54,2.027
8,-41.705,3.771,-34.255,5.377,-24.064,4.724,-26.298,5.491,-37.177,4.685,-38.674,4.067,-41.886,4.563
9,-41.678,3.78,-35.201,5.34,-28.689,4.247,-29.729,5.244,-36.946,4.632,-41.558,4.321,-43.1,4.605
10,-36.206,5.712,-32.854,6.631,-24.775,5.225,-27.451,5.945,-38.294,4.875,-37.969,4.603,-43.984,4.439
11,-38.059,6.043,-33.473,6.296,-26.27,5.949,-28.722,6.137,-35.976,5.545,-41.247,4.82,-43.356,5.3
12,-36.269,4.945,-32.61,7.093,-24.769,4.944,-22.195,5.467,-33.615,5.229,-37.904,4.325,-40.303,4.943
13,-34.055,4.697,-30.31,5.881,-21.73,5.596,-21.073,6.215,-30.212,5.126,-33.818,4.778,-39.547,5.909
14,-34.968,4.98,-27.269,7.777,-22.862,6.058,-23.399,8.192,-32.998,5.713,-36.565,5.7,-41.193,5.126
15,-36.034,5.095,-31.252,5.537,-23.769,5.703,-22.813,6.81,-29.522,5.397,-33.882,4.74,-40,4.576
16,27.686,11.057,65.403,52.679,76.222,15.209,56.591,15.44,71.066,18.524,12.706,9.717,-14.965,8.139
17,42.776,11.043,59.548,38.089,85.378,13.384,66.567,12.402,86.895,17.859,15.112,8.654,-11.998,8.057
18,44.731,11.013,60.295,38.835,79.629,13.309,73.598,13.139,87.828,16.07,4.555,8.074,-16.083,7.941
19,54.848,10.002,67.606,36.978,85.506,12.244,82.001,12.76,100.934,16.484,9.532,7.861,-17.245,7.665
20,54.891,13.849,70.067,33.669,89.025,15.681,85.765,16.082,107.647,21.238,9.782,9.734,-18.79,9.884
21,62.786,13.939,75.472,36.539,95.047,15.399,85.748,15.626,107.008,20.498,6.233,9.631,-17.908,8.934
22,66.387,12.748,74.063,33.44,91.147,14.375,81.992,14.107,108.802,19.838,5.392,9.324,-22.207,7.614
23,68.776,12.141,78.101,34.169,85.726,13.274,82.68,13.744,104.393,17.889,4.225,9.012,-22.757,9.467
24,74.281,10.008,87.07,30.361,99.277,11.153,93.085,11.77,115.364,18.503,9.931,8.085,-18.645,8.179
25,76.25,11.162,85.886,31.608,94.476,11.969,89.58,11.937,117.268,17.592,3.206,8.55,-25.057,9.278
26,84.935,15.233,99.078,30.754,105.21,16.498,103.968,17.971,133.327,22.151,12.958,10.079,-19.09,8.693
27,85.701,13.069,102.264,32.226,104.848,13.385,101.396,14.678,135.484,24.486,14.997,9.409,-17.695,7.783
28,83.813,10.234,86.691,21.539,90.989,11.075,88.165,11.203,122.77,17.416,7.914,5.996,-21.96,8.221
29,82.534,9.465,96.36,27.076,94.797,8.34,93.032,10.63,127.376,12.613,2.96,4.655,-23.056,7.596
30,92.236,16.529,100.037,30.828,101.396,16.741,92.162,16.542,128.803,21.31,4.059,9.252,-24.651,9.325
31,94.967,10.353,99.752,27.184,96.244,10.532,93.232,10.271,131.401,19.449,5.3,5.245,-24.08,6.362
32,96.818,12.692,112.185,27.22,99.806,11.595,91.638,13.801,137.699,18.667,9.934,8.368,-24.699,6.159
