SequenceLength,SampleNo,WallClockTime,CPUTime,LogWallClockTime,LogSequenceLength
10,1,1.758779287,1.360157493,0.564619981,2.302585093
10,2,0.893721581,0.89393872,-0.112360983,2.302585093
10,3,0.888892412,0.889188177,-0.117779072,2.302585093
10,4,0.876241446,0.876433526,-0.132113603,2.302585093
10,5,0.877967358,0.878257937,-0.130145864,2.302585093
10,6,0.877091885,0.877321847,-0.13114352,2.302585093
10,7,0.880247355,0.880491304,-0.127552326,2.302585093
10,8,0.876353741,0.876682285,-0.131985456,2.302585093
10,9,0.874789476,0.875067344,-0.13377202,2.302585093
10,10,0.874234676,0.874540096,-0.134406431,2.302585093
10,11,0.882526398,0.883153766,-0.124966578,2.302585093
10,12,0.876775742,0.877132773,-0.13150403,2.302585093
10,13,0.879627466,0.879960496,-0.128256795,2.302585093
10,14,0.878542185,0.87893636,-0.129491353,2.302585093
10,15,0.887893915,0.888491123,-0.118903008,2.302585093
10,16,0.885580063,0.886104999,-0.12151241,2.302585093
10,17,0.887763739,0.888043614,-0.119049631,2.302585093
10,18,0.88128829,0.881874896,-0.126370476,2.302585093
10,19,0.881494522,0.88192301,-0.126136492,2.302585093
10,20,0.877502918,0.877865837,-0.130674998,2.302585093
10,21,0.882378101,0.882954938,-0.125134629,2.302585093
10,22,0.878856421,0.879267914,-0.129133738,2.302585093
10,23,0.880738974,0.881238265,-0.126993981,2.302585093
10,24,0.875422716,0.875644187,-0.133048405,2.302585093
10,25,0.875158548,0.875480444,-0.133350211,2.302585093
10,26,0.874854088,0.87514159,-0.133698163,2.302585093
10,27,0.875356436,0.875665402,-0.13312412,2.302585093
10,28,0.88845396,0.888749619,-0.11827245,2.302585093
10,29,0.879588842,0.879862037,-0.128300706,2.302585093
10,30,0.881248951,0.881622791,-0.126415115,2.302585093
10,31,0.881554127,0.881820665,-0.126068876,2.302585093
10,32,0.87656498,0.876865822,-0.131744442,2.302585093
10,33,0.874829769,0.875106569,-0.133725961,2.302585093
10,34,0.878367901,0.878700331,-0.129689751,2.302585093
10,35,0.877836466,0.878092412,-0.13029496,2.302585093
10,36,0.877629757,0.87790906,-0.130530463,2.302585093
10,37,0.875983477,0.876239352,-0.13240805,2.302585093
10,38,0.881076097,0.881352263,-0.126611281,2.302585093
10,39,0.875547409,0.875787479,-0.132905978,2.302585093
10,40,0.880074024,0.880275671,-0.127749257,2.302585093
10,41,0.879490137,0.879809266,-0.128412929,2.302585093
10,42,0.877821684,0.878093404,-0.130311799,2.302585093
10,43,0.877688408,0.878006019,-0.130463637,2.302585093
10,44,0.878034353,0.878301607,-0.13006956,2.302585093
10,45,0.876281977,0.876588979,-0.132067348,2.302585093
