"λ (nm)",AT1,AT2,AT3,AT4,AT5,NE1,NE2,NE3,NE4,NG1,NG2,NG3
260.0,0.0625070,-0.147920,0.1081310,-0.312399,-0.408492,-0.05662310,0.0542748,0.0801583,-0.1388500,0.04385370,-0.1873900,-0.2502510
259.0,0.0963449,-0.131883,0.0727369,-0.256596,-0.367486,-0.00463320,0.0933093,0.0847767,-0.1402660,0.01397380,-0.1099150,-0.2063510
258.0,0.1428620,-0.128365,0.0381313,-0.195105,-0.365783,0.00011498,0.0993516,0.0767083,-0.1555240,-0.00143140,-0.0685217,-0.1787590
257.0,0.1458290,-0.145077,0.0328699,-0.157836,-0.363814,0.00303567,0.1290080,0.0357431,-0.1983630,-0.00266100,-0.0148301,-0.1819670
256.0,0.1435690,-0.140616,0.0736953,-0.154068,-0.405615,-0.00750630,0.1261750,-0.0417553,-0.2652580,0.00305172,-0.0353366,-0.1878670
255.0,0.1230980,-0.122077,0.1146670,-0.112419,-0.388267,-0.02074840,0.1013050,-0.0349012,-0.2806580,0.04507040,-0.0971955,-0.1817970
254.0,0.0253062,-0.102028,0.1593580,-0.140388,-0.395096,-0.08208570,0.0857530,-0.0498670,-0.3155560,0.08711040,-0.1423940,-0.1868960
253.0,-0.0725257,-0.122213,0.1601260,-0.214468,-0.417528,-0.12475300,0.0505804,-0.1167310,-0.3622930,0.05156430,-0.1990920,-0.2694970
252.0,-0.0993262,-0.119478,0.1864170,-0.249114,-0.368688,-0.13523200,0.0328097,-0.0984540,-0.3253990,0.05426640,-0.2242940,-0.2752490
251.0,-0.1491610,-0.144460,0.1583390,-0.287080,-0.409818,-0.18970300,0.0318327,-0.0999485,-0.3514490,0.03401870,-0.2174030,-0.3404340
250.0,-0.1710500,-0.204428,0.1238080,-0.299936,-0.461535,-0.23383500,0.0308715,-0.1296440,-0.3611280,-0.02486150,-0.2271570,-0.4644140
249.0,-0.1206140,-0.298648,0.1092730,-0.300613,-0.511163,-0.21655900,0.0489683,-0.1305920,-0.3929620,-0.06301800,-0.2566220,-0.5697370
