"λ (nm)",AT1,AT2,AT3,AT4,AT5,NE1,NE2,NE3,NE4,NG1,NG2,NG3
260.0,-0.17109100,-0.09733090,0.00506011,-0.0487864,-0.1271620,0.00044838,-0.09773590,0.04524270,-0.1482350,-0.07500290,0.00327566,-0.22501800
259.0,-0.09682420,-0.04310530,0.04272160,-0.0094343,-0.0537699,0.02871100,-0.05405670,0.06762650,-0.1266380,0.02761270,0.06574720,-0.17432200
258.0,-0.01462610,0.02513170,0.07460900,0.0582437,0.0259103,0.07012370,-0.00530740,0.09473330,-0.0887953,0.12038200,0.13493300,-0.12436800
257.0,0.06895920,0.07939170,0.11065900,0.1181430,0.1002740,0.12116100,0.07170380,0.15653000,-0.0264289,0.19860500,0.21411600,-0.04792150
256.0,0.10938000,0.09563920,0.15426400,0.1154210,0.1430550,0.12287200,0.06555790,0.11411600,0.0202016,0.22575500,0.22472500,0.00188127
255.0,0.07480720,0.04004520,0.12648000,0.0364347,0.1049080,0.05846990,-0.05443370,0.04356530,-0.0380781,0.11398000,0.18474100,-0.03962060
254.0,0.05437940,-0.01660290,0.14783400,-0.0042726,0.0422502,0.00336852,-0.06472730,0.05015770,-0.0371562,0.06787400,0.15385600,-0.02550520
253.0,-0.02938750,-0.09284770,0.12033100,-0.1323900,-0.0275489,-0.13612800,-0.06147640,-0.00400180,-0.0919914,-0.00337130,0.01395360,-0.06769310
252.0,-0.10615200,-0.16987300,0.11232600,-0.2401930,-0.0515852,-0.22431000,-0.13443400,-0.07956070,-0.1583110,-0.13138200,-0.08465480,-0.15054400
251.0,-0.13276300,-0.22640600,0.11580700,-0.2227890,-0.0929297,-0.28867100,-0.11053300,-0.07683720,-0.1960550,-0.19172800,-0.13686900,-0.21611800
250.0,-0.04643900,-0.18132400,0.18216100,-0.1866270,-0.0755688,-0.26877400,0.01402650,-0.02916360,-0.1654320,-0.13052500,-0.16222700,-0.21426000
249.0,-0.02012590,-0.20769000,0.22354800,-0.2216320,-0.0745488,-0.27811400,0.01358860,-0.07310440,-0.2143490,-0.18058600,-0.24021700,-0.28491800
248.0,-0.00069530,-0.28777400,0.30770000,-0.1832700,-0.0697001,-0.23832800,-0.03241730,-0.01427890,-0.2495980,-0.26742700,-0.22641600,-0.29658400
247.0,0.00192083,-0.42584100,0.35593900,-0.1856700,-0.1211850,-0.28091100,-0.05367440,-0.01223830,-0.2893110,-0.29520800,-0.28685300,-0.33566000
246.0,-0.05391350,-0.65249600,0.33689800,-0.2449200,-0.2173590,-0.37014700,-0.12515000,-0.08048970,-0.3790450,-0.44309400,-0.41689600,-0.45230500
245.0,-0.18042000,-0.99073200,0.32057100,-0.3384580,-0.3767920,-0.52009600,-0.25430200,-0.14522000,-0.4999730,-0.70871300,-0.56620700,-0.69261200
244.0,-0.27684000,-1.29751000,0.25668800,-0.4596860,-0.5104140,-0.67012200,-0.42990900,-0.17781300,-0.6198050,-0.97314300,-0.72230400,-0.94616900
243.0,-0.33003700,-1.77588000,0.15598900,-0.6888550,-0.7081870,-0.86448000,-0.66884400,-0.34617200,-0.8100770,-1.27798000,-1.05199000,-1.25926000
242.0,-0.41019200,-2.31667000,0.02735480,-0.9399240,-0.9595170,-1.11679000,-0.96802900,-0.48199700,-1.0737300,-1.75411000,-1.44043000,-1.62819000
241.0,-0.57806300,-2.94438000,-0.07655020,-1.2637600,-1.2396300,-1.44549000,-1.33210000,-0.60833900,-1.3979100,-2.33971000,-1.83422000,-2.05753000
240.0,-0.85707800,-3.78327000,-0.28858300,-1.6716100,-1.6005500,-1.89719000,-1.73881000,-0.86801100,-1.8227500,-3.03030000,-2.37659000,-2.51355000
239.0,-1.15235000,-4.79284000,-0.48843500,-2.1046000,-2.0336700,-2.36370000,-2.11348000,-1.12564000,-2.2773200,-3.85286000,-2.97277000,-3.03822000
238.0,-1.50558000,-5.81428000,-0.61025700,-2.5341700,-2.5390700,-2.86550000,-2.47672000,-1.27295000,-2.7812100,-4.78424000,-3.52588000,-3.61005000
237.0,-1.86937000,-6.99665000,-0.73521500,-2.9880400,-3.0582700,-3.38924000,-2.79857000,-1.43797000,-3.3286800,-5.72455000,-4.14704000,-4.22934000
236.0,-2.19945000,-8.35093000,-0.89240000,-3.5872500,-3.6563800,-3.91499000,-3.15604000,-1.61661000,-3.9469200,-6.72840000,-4.86711000,-4.91584000
