"λ (nm)",AT1,AT2,AT3,AT4,AT5,NE1,NE2,NE3,NE4,NG1,NG2,NG3
260.0,0.0277043,-0.08112660,0.4207030,0.1929650,-0.123470,0.18065600,0.2902940,0.3662490,0.00685265,0.2057300,-0.110329,0.08753010
259.0,0.0567089,-0.03464670,0.3843750,0.1495820,-0.189918,0.18612100,0.2365310,0.3110900,0.01386540,0.1668840,-0.136867,0.06654000
258.0,0.0870941,-0.01289280,0.3631770,0.0930322,-0.237355,0.16795000,0.2226060,0.2745890,0.01460520,0.1274250,-0.195373,0.04131080
257.0,0.0883329,-0.03272460,0.2996990,0.0258773,-0.245474,0.14782900,0.1986470,0.2193460,-0.01411370,0.0922250,-0.273189,0.00596464
256.0,0.1151220,-0.05069710,0.2624910,0.0129924,-0.268034,0.11924300,0.1674060,0.2403650,0.00735549,0.0107303,-0.282293,-0.03523480
255.0,0.1254320,-0.06750180,0.2272120,0.0310436,-0.215238,0.11148800,0.2121600,0.2796650,0.02988380,-0.0195483,-0.291298,-0.05328270
254.0,0.0720877,-0.09642170,0.1989370,0.0404801,-0.149836,0.04396700,0.2834920,0.3044980,-0.00917030,-0.0392912,-0.350123,-0.00994870
253.0,0.0489654,-0.06825130,0.1895630,0.0785059,-0.178785,0.03227520,0.3347320,0.3415910,-0.03800780,-0.0744807,-0.352862,-0.01385370
252.0,0.1114140,0.04010780,0.2410680,0.1303060,-0.222202,0.05142050,0.3914940,0.4282680,-0.01434280,-0.0971498,-0.314077,0.03515160
251.0,0.1295230,0.08423220,0.2221820,0.1055920,-0.238866,0.03005590,0.4142380,0.3905790,-0.05950060,-0.1746730,-0.384657,0.04181350
250.0,0.1415660,0.07484960,0.2140950,0.0459571,-0.293303,0.01265530,0.3719000,0.3509330,-0.05986230,-0.2708630,-0.467202,0.06742780
249.0,0.2664170,0.16459000,0.2411010,0.0616540,-0.284630,0.09383020,0.4201120,0.4222840,0.02433280,-0.3027000,-0.457170,0.12149200
248.0,0.2880030,0.19689500,0.2091700,0.0400022,-0.214870,0.09854510,0.4472140,0.4200570,0.02619590,-0.4037420,-0.514543,0.11502300
247.0,0.2513420,0.13857300,0.2066890,0.0195301,-0.247993,0.00502145,0.4356240,0.3620500,-0.02173850,-0.5952020,-0.645936,0.02496400
