"λ (nm)",AT1,AT2,AT3,AT4,AT5,NE1,NE2,NE3,NE4,NG1,NG2,NG3
260.0,-0.0818813,-0.12047100,-0.1505900,0.10900200,-0.518501,-0.11076100,-0.14454600,0.01619830,-0.1893720,-0.0796049,-0.07756260,-0.0435768
259.0,-0.0843103,-0.12300800,-0.1322920,0.07102820,-0.519170,-0.07111020,-0.10325800,-0.01285070,-0.1864580,-0.0533937,-0.01956310,-0.0275648
258.0,-0.1238160,-0.10611000,-0.1252560,0.04440970,-0.537804,-0.08678800,-0.04959730,-0.03205600,-0.2034240,-0.0480213,0.01593650,0.0184277
257.0,-0.1542310,-0.09121740,-0.1620340,0.02540630,-0.580649,-0.09281500,-0.04131700,-0.04689720,-0.1974130,-0.0361864,0.02803400,0.0570144
256.0,-0.1664870,-0.06677030,-0.1661020,0.01083690,-0.533748,-0.07169440,-0.07835890,-0.04313230,-0.1545860,-0.0216853,0.04828590,0.0723509
255.0,-0.1548250,-0.00849750,-0.1399810,0.05355730,-0.458899,-0.04431410,-0.04926840,-0.03002970,-0.1096940,0.0259769,0.10159800,0.1296670
254.0,-0.1258050,0.01739990,-0.1803090,0.05313640,-0.486303,-0.03430520,-0.04010220,-0.03900490,-0.0961173,0.0285487,0.07655050,0.1368940
253.0,-0.0895873,0.00135628,-0.2284950,0.00878893,-0.526988,0.00500324,-0.11360100,-0.05994040,-0.0496235,0.0351675,0.01929940,0.1109930
252.0,-0.1012850,0.01373470,-0.2021510,-0.03965280,-0.497589,0.01383240,-0.15402200,-0.06814600,-0.0634064,0.0559204,-0.02069600,0.0456715
251.0,-0.1048120,0.03077490,-0.1868840,-0.05545750,-0.484477,-0.02972240,-0.09771840,-0.03363990,-0.0718896,0.0504853,-0.03625440,-0.0220688
250.0,-0.0909793,0.01656400,-0.1715670,-0.07347310,-0.495755,-0.04141120,-0.07791800,0.03493430,-0.0901957,0.0306846,-0.06314090,-0.0834275
249.0,-0.1268600,-0.00732160,-0.1646070,-0.09580770,-0.502086,-0.06717730,-0.13624700,0.04972800,-0.1053120,0.0165126,-0.05165490,-0.0849153
248.0,-0.1614160,-0.04062330,-0.1549710,-0.05388090,-0.495308,-0.08041740,-0.09491380,0.08524040,-0.1226660,0.0176466,-0.03858760,-0.0877350
247.0,-0.1389320,-0.07327840,-0.1456070,0.00206857,-0.535605,-0.04344400,-0.01962730,0.12008700,-0.0933201,0.0430182,-0.02413950,-0.0325525
