,H2O,TFE/H2O,SDS/H2O,MeOH/H2O,H2O,TFE/H2O,SDS/H2O,MeOH/H2O,H2O,TFE/H2O,SDS/H2O,MeOH/H2O,H2O,TFE/H2O,SDS/H2O,MeOH/H2O,H2O,TFE/H2O,SDS/H2O,MeOH/H2O
AT1,2.500000,34.7,2.7,0.00,32.4,7.3,57.2,35.1,0.0,0.0,12.1,0.0,16.7,11.4,6.1,15.7,48.3,46.7,21.8,49.2
AT2,1.100000,100.0,1.2,9.30,29.5,0.0,35.5,26.5,0.0,0.0,27.4,4.5,16.7,0.0,1.1,15.4,52.7,0.0,34.8,44.3
AT3,5.500000,15.0,5.7,0.70,28.2,16.5,18.1,35.6,0.0,0.0,0.0,0.0,20.2,15.7,17.2,14.7,46.1,52.8,59.1,49.0
AT4,4.400000,40.4,0.0,0.00,26.9,0.0,46.7,33.8,0.0,0.0,30.2,0.0,18.6,6.1,0.0,16.2,50.2,53.5,23.0,50.0
AT5,0.000000,64.6,0.0,0.00,54.5,1.3,33.3,51.5,23.5,0.0,38.1,17.7,0.0,4.4,0.0,0.0,22.0,29.7,28.6,30.8
NE1,5.900000,47.1,39.3,11.00,25.0,0.0,0.0,21.2,0.0,0.0,38.5,5.2,16.6,9.5,6.2,15.0,52.5,43.5,16.0,47.5
NE2,0.000000,39.5,0.0,0.00,31.8,5.2,59.9,36.3,0.0,0.0,10.8,0.0,25.5,9.0,0.0,15.6,42.6,46.3,29.3,48.1
NE3,10.500000,9.7,0.0,0.40,25.0,22.4,85.2,34.8,3.2,9.2,0.0,0.0,2.9,5.2,0.0,13.2,58.4,53.5,14.8,51.6
NE4,3.000000,57.8,0.0,1.80,28.8,0.0,36.3,41.0,5.3,0.0,33.3,0.0,13.7,6.3,0.9,12.7,49.2,35.9,29.4,44.5
NG1,6.400000,93.3,71.4,13.60,23.9,0.0,2.4,19.5,2.5,0.0,26.2,1.5,17.3,0.0,0.0,13.6,49.8,6.7,0.0,51.8
NG2,2.400000,69.9,29.1,2.10,31.2,0.0,6.5,30.1,0.0,0.0,15.9,1.1,15.8,8.0,5.3,15.1,50.5,22.1,43.2,51.6
NG3,2.400000,85.5,0.0,0.00,28.5,0.0,40.6,34.2,0.0,0.0,50.5,0.0,17.7,0.0,0.0,16.7,51.5,14.5,8.9,49.1
