"Time (min)",Buffer,Buffer,Buffer,"Buffer + DiSC3-5 ","Buffer + DiSC3-5 ","Buffer + DiSC3-5 ","Buffer + A. baumannii ATCC 19606","Buffer + A. baumannii ATCC 19606","Buffer + A. baumannii ATCC 19606","Buffer + DiSC3-5 + A. baumannii ATCC 19606","Buffer + DiSC3-5 + A. baumannii ATCC 19606","Buffer + DiSC3-5 + A. baumannii ATCC 19606",AT4,AT4,AT4,NE1,NE1,NE1,NE2,NE2,NE2,NG1,NG1,NG1,NG3,NG3,NG3,"Polymyxin B","Polymyxin B","Polymyxin B",Levofloxacin,Levofloxacin,Levofloxacin
1.0,12,0,0,5555,5526,6576,0,0,0,3654,3224,3473,2171,2571,2382,2464,2959,2354,2701,2887,2750,3000,2642,3014,2424,2165,2547,2315,2480,2437,2236,2114,2352
2.0,15,0,0,5676,5067,5889,1,0,0,3389,2926,3435,2003,2569,2374,2326,2657,2229,2575,2792,2435,2737,2309,2476,2193,2195,2434,2222,2213,2141,1933,1788,2414
3.0,3,0,0,5498,4999,5766,0,0,6,3212,2988,3317,1971,2147,2142,2153,2401,2173,2344,2365,2313,2423,2200,2309,1966,1894,2278,2123,2015,1870,1791,1713,2109
4.0,2,0,0,5261,4912,5457,11,1,0,3180,2878,3132,1840,1936,2048,1979,2348,2029,2233,2273,2249,2432,2126,2221,1835,1805,1962,1818,1789,1874,1714,1578,1899
5.0,0,0,4,5433,4554,5053,0,0,0,3116,2954,3086,1675,1910,2043,1893,2167,1921,2243,2038,2137,2383,2065,2250,1855,1697,1920,1744,1770,1845,1694,1633,1952
6.0,0,0,2,5312,4662,4738,0,0,6,3088,2704,3093,1657,1849,1846,1834,2150,1883,2116,2114,2154,2304,1938,2135,1844,1772,1797,1593,1778,1807,1709,1546,1829
7.0,0,0,0,5202,4763,4621,0,0,0,2916,2644,2892,1780,1867,1772,1824,2027,1772,2073,2096,2006,2106,1968,2043,1838,1660,1841,1692,1713,1800,1563,1560,1649
8.0,0,0,0,5108,4819,4565,1,0,0,2888,2429,2965,1546,1672,1610,1726,2014,1705,2072,2155,2062,2175,1872,2057,1878,1623,1702,1602,1734,1743,1579,1480,1754
9.0,0,0,3,5020,4831,4306,0,0,0,2927,2459,2983,1544,1663,1674,1749,2008,1666,1993,1989,1986,2130,1834,1917,1755,1630,1892,1490,1677,1724,1579,1441,1742
10.0,0,0,0,5083,4817,4161,0,0,7,2837,2297,2862,1554,1883,1664,1659,2042,1668,2020,2016,1979,2086,1792,1923,1707,1519,1708,1729,1575,1656,1489,1395,1595
11.0,0,0,0,4864,4706,4128,0,0,0,2821,2202,2849,1457,1763,1656,1686,1917,1634,1957,1928,1919,1973,1775,1863,1743,1573,1724,1504,1588,1533,1511,1353,1595
12.0,6,0,0,4665,4613,3984,8,0,0,2613,2169,2679,1448,1647,1660,1558,1954,1516,1904,1886,1823,2033,1927,1845,1745,1503,1705,1497,1626,1510,1540,1332,1582
13.0,0,0,0,4592,4736,3971,0,0,0,2562,2060,2534,1550,1533,1636,1640,1815,1532,1902,1788,1911,2028,1787,1833,1660,1589,1745,1508,1633,1595,1513,1243,1570
14.0,4,0,0,4678,4721,3964,0,0,0,2470,2078,2713,1559,1581,1582,1668,2020,1593,1921,1805,1875,2124,1664,1774,1629,1512,1724,1403,1550,1653,1401,1333,1536
15.0,0,0,0,4324,4572,3815,1,0,0,2484,2036,2590,1415,1540,1593,1595,1746,1547,1840,1851,1729,2017,1721,1750,1718,1580,1713,1564,1576,1561,1398,1373,1495
16.0,0,0,12,4090,4430,3784,0,0,0,2412,1861,2456,2873,2932,2787,2348,2811,5971,4008,3851,3999,3834,3239,3464,4344,3525,3642,2480,2518,2586,1974,1743,2005
17.0,0,0,0,4137,4175,3424,0,0,0,2296,1814,2216,2948,3196,2888,2386,2830,4877,3830,3878,4019,3627,3354,3556,4418,3555,3850,2395,2340,2547,2028,1657,1882
18.0,0,0,0,4162,4354,3460,0,0,0,2277,1818,2272,3072,3207,2936,2334,2934,4938,3954,3729,3754,3830,3522,3701,4357,3772,3830,2149,2162,2346,1973,1592,1778
19.0,2,0,0,3906,3989,3360,0,0,0,2192,1784,2130,3046,3198,3211,2443,2968,4823,3621,3808,3898,3910,3499,3704,4524,3840,3905,2096,2222,2370,1770,1456,1827
20.0,0,0,0,3801,4132,3525,0,0,0,2103,1665,2182,2854,3249,3113,2548,3009,4562,3697,3670,3880,3808,3461,3784,4631,3889,3835,2021,2253,2258,1738,1319,1775
