"Time (min)",Buffer,Buffer,Buffer,"Buffer + DiSC3-5 ","Buffer + DiSC3-5 ","Buffer + DiSC3-5 ","Buffer + A. baumannii ATCC 19606","Buffer + A. baumannii ATCC 19606","Buffer + A. baumannii ATCC 19606","Buffer + DiSC3-5 + A. baumannii ATCC 19606","Buffer + DiSC3-5 + A. baumannii ATCC 19606","Buffer + DiSC3-5 + A. baumannii ATCC 19606",AT5,AT5,AT5,NE1,NE1,NE1,NE3,NE3,NE3,NE4,NE4,NE4,NG2,NG2,NG2,"Polymyxin B","Polymyxin B","Polymyxin B",Levofloxacin,Levofloxacin,Levofloxacin
1.0,0,46,8,3992,6051,5463,0,3,0,3987,4460,4015,3266,3726,3326,3346,3951,3139,3579,3421,3486,3936,2478,3177,2863,3471,3383,3526,3451,3212,3375,3444,3642
2.0,2,54,6,3881,5658,5261,0,0,0,3742,4334,3843,2986,3152,2845,2912,3410,2712,3138,3054,2982,3559,2255,2943,2756,3132,2966,2988,2842,3197,2877,3039,3016
3.0,0,51,0,3488,5312,5036,0,0,0,3731,4283,3568,2738,2963,2597,2596,2980,2505,2808,2787,2855,3208,2172,2898,2586,2715,2728,2621,2662,2704,2720,2712,3009
4.0,0,42,3,3413,5006,5000,0,0,8,3773,3987,3483,2526,2634,2357,2553,2851,2384,2688,2594,2647,3060,2094,2528,2403,2501,2582,2563,2519,2675,2720,2409,2667
5.0,0,25,0,3145,5008,4516,0,0,2,3818,3954,3694,2461,2622,2332,2589,2783,2321,2596,2589,2506,2737,2023,2498,2292,2382,2466,2485,2323,2559,2596,2336,2637
6.0,0,42,0,2998,4754,4604,11,0,0,3768,3903,3655,2323,2439,2340,2420,2544,2260,2551,2392,2514,2703,1977,2322,2308,2395,2486,2415,2384,2574,2600,2449,2562
7.0,0,28,0,2923,4460,4524,0,0,0,3537,4097,3567,2243,2433,2120,2367,2458,2113,2356,2347,2353,2728,1901,2195,2171,2238,2338,2307,2306,2352,2429,2267,2390
8.0,0,28,0,2981,4512,4236,0,0,0,3506,3917,3570,2337,2297,2003,2338,2492,2209,2370,2247,2374,2452,1780,2106,2197,2145,2186,2365,2258,2183,2433,2254,2513
9.0,0,19,23,2807,4246,4074,0,0,0,3387,3897,3173,2301,2345,2145,2383,2371,2084,2208,2245,2289,2506,1763,1977,2045,2212,2293,2269,2200,2188,2315,2171,2305
10.0,0,30,0,2891,4143,4328,2,0,3,3321,3893,3184,2194,2299,2047,2191,2300,2044,2228,2062,2132,2399,1824,1927,1994,2077,2079,2317,2163,2246,2289,2036,2217
11.0,6,25,0,2974,4196,4103,0,0,0,3149,3730,3108,2035,2199,2076,2167,2278,2126,2250,2121,2100,2383,1793,1908,1975,2018,2124,2195,2086,2056,2108,2172,2249
12.0,0,20,0,2922,4145,4237,0,0,0,3096,3644,2998,2111,2051,1976,2069,2246,2043,2129,2031,2152,2365,1759,1900,1881,2014,2080,2068,2074,2111,2235,1952,2159
13.0,0,14,6,2929,3906,4277,0,0,0,2944,3506,2880,2096,2175,1992,2127,2265,1849,1997,2008,2086,2214,1617,1901,1970,2095,2051,2067,2139,1966,2049,2008,2145
14.0,3,22,0,2946,3802,4307,0,7,0,3072,3439,2854,2025,2120,1926,2081,2233,1746,2058,1946,1978,2245,1625,1797,1899,1939,2132,2130,2037,1939,2095,1881,2104
15.0,0,10,0,3157,3751,4297,0,0,1,2967,3321,2754,2141,2248,1823,2021,2151,1809,1951,1899,1979,2179,1500,1841,1811,2143,1869,2122,1958,1939,2108,1948,2065
16.0,0,4,0,3062,3587,4165,0,0,0,2857,3298,2541,3048,3007,2689,3038,3440,2734,3002,2656,2701,2959,1905,2290,3031,3375,3619,3260,3104,2962,2864,2809,3147
17.0,0,0,0,2997,3448,3942,2,2,0,2561,3049,2587,3160,3063,2705,3145,3439,2883,2989,2869,2832,3034,1775,2194,3443,3686,3936,3357,2977,2977,3254,2892,3119
18.0,0,5,0,2886,3543,4174,0,0,7,2683,2921,2372,3231,3193,2830,3099,3692,2848,3081,2708,3035,2964,1683,2209,3791,4174,4249,3395,3116,3013,3287,3261,3231
19.0,5,0,0,2932,3257,4166,0,0,0,2521,3022,2369,3172,3241,2911,3173,3605,2993,2999,2804,2983,2885,1784,2376,3668,4040,4380,3449,3308,3106,3236,3255,3369
20.0,0,1,0,3046,3271,3972,0,0,0,2526,2902,2270,3353,3336,2904,3153,3853,2872,3037,2829,2937,2929,1765,2403,3858,4133,4447,3409,3350,3066,3100,3165,3418
21.0,0,0,0,2836,3222,3763,1,0,0,2382,2913,2383,3220,3312,3073,3170,3881,3028,3128,2785,2927,2895,1892,2393,3887,4301,4483,3558,3339,3055,3228,3274,3607
22.0,0,0,0,2922,3176,3973,4,0,0,2328,2715,2342,3342,3336,2830,3137,3702,2946,2951,2709,3006,3020,2026,2415,3745,4239,4523,3471,3355,3025,3153,3338,3365
23.0,0,0,0,2796,3041,3736,1,0,0,2472,2534,2190,3370,3339,2928,3083,3614,3029,2968,2707,2883,2996,1999,2403,3955,4178,4602,3483,3400,3011,3144,3262,3328
24.0,0,0,0,2689,2859,3596,0,0,0,2259,2581,2275,3361,3368,2810,3367,3962,3104,3025,2841,3014,3122,2013,2519,3786,4037,4681,3422,3236,2720,3145,3131,3257
25.0,0,0,0,2652,2959,3694,0,0,0,2360,2491,2178,3401,3508,2801,3234,3851,2953,3114,2702,2945,3029,2066,2540,3935,4333,4611,3492,3131,2774,3052,3068,3138
26.0,0,0,0,2480,2823,3505,0,0,0,2209,2373,2138,3386,3312,2803,3206,3929,3028,3024,2783,2949,2967,1990,2504,4008,4196,4733,3297,3094,2747,3194,3045,3093
27.0,0,0,0,2415,2729,3545,0,0,0,2339,2440,2084,3216,3490,2901,3339,4045,3066,2943,2713,2753,3045,1993,2392,3989,4391,4488,3441,3058,2746,3102,2916,3073
28.0,5,0,0,2516,2724,3421,0,5,0,2154,2174,2114,3331,3327,2879,3326,3895,2959,3133,2679,2804,3027,2126,2449,3652,4079,4438,3370,3248,2679,2886,2806,3116
