protein,Position sec,Deisgn method,Name,GDT_TS
1msl,0,esm,1msl_0_esm,0.4270833333333333
1msl,1,esm,1msl_1_esm,0.9236111111111112
1msl,2,esm,1msl_2_esm,0.6458333333333334
1msl,3,esm,1msl_3_esm,0.5034722222222222
1msl,4,esm,1msl_4_esm,0.4895833333333333
1msl,5,esm,1msl_5_esm,0.90625
1msl,6,esm,1msl_6_esm,0.5659722222222222
1msl,7,esm,1msl_7_esm,0.8229166666666666
1msl,8,esm,1msl_8_esm,0.6944444444444444
1msl,9,esm,1msl_9_esm,0.90625
1msl,10,esm,1msl_10_esm,0.8819444444444444
1msl,11,esm,1msl_11_esm,0.9236111111111112
1msl,12,esm,1msl_12_esm,0.8993055555555556
1msl,13,esm,1msl_13_esm,0.8854166666666666
1msl,14,esm,1msl_14_esm,0.3020833333333333
1msl,15,esm,1msl_15_esm,0.5138888888888888
1msl,16,esm,1msl_16_esm,0.7326388888888888
1msl,17,esm,1msl_17_esm,0.4618055555555556
1msl,18,esm,1msl_18_esm,0.4791666666666667
1msl,19,esm,1msl_19_esm,0.9340277777777778
1msl,20,esm,1msl_20_esm,0.9166666666666666
1msl,21,esm,1msl_21_esm,0.3645833333333333
1msl,22,esm,1msl_22_esm,0.9236111111111112
1msl,23,esm,1msl_23_esm,0.375
1msl,24,esm,1msl_24_esm,0.4166666666666667
1msl,25,esm,1msl_25_esm,0.4722222222222222
1msl,26,esm,1msl_26_esm,0.4236111111111111
1msl,27,esm,1msl_27_esm,0.5034722222222222
1msl,28,esm,1msl_28_esm,0.7361111111111112
1msl,29,esm,1msl_29_esm,0.8402777777777778
1msl,30,esm,1msl_30_esm,0.9027777777777778
1msl,31,esm,1msl_31_esm,0.9305555555555556
1msl,32,esm,1msl_32_esm,0.8576388888888888
1msl,33,esm,1msl_33_esm,0.7013888888888888
1msl,34,esm,1msl_34_esm,0.9375
1msl,35,esm,1msl_35_esm,0.5347222222222222
1msl,36,esm,1msl_36_esm,0.8854166666666666
1msl,37,esm,1msl_37_esm,0.8854166666666666
1msl,38,esm,1msl_38_esm,0.7777777777777778
1msl,39,esm,1msl_39_esm,0.3055555555555556
1msl,40,esm,1msl_40_esm,0.9131944444444444
1msl,41,esm,1msl_41_esm,0.7534722222222222
1msl,42,esm,1msl_42_esm,0.5034722222222222
1msl,43,esm,1msl_43_esm,0.6319444444444444
1msl,44,esm,1msl_44_esm,0.3784722222222222
1msl,45,esm,1msl_45_esm,0.5
1msl,46,esm,1msl_46_esm,0.4166666666666667
1msl,47,esm,1msl_47_esm,0.8472222222222222
1msl,48,esm,1msl_48_esm,0.9409722222222222
1msl,49,esm,1msl_49_esm,0.7881944444444444
1msl,50,esm,1msl_50_esm,0.8888888888888888
1msl,51,esm,1msl_51_esm,0.28125
1msl,52,esm,1msl_52_esm,0.3402777777777778
1msl,53,esm,1msl_53_esm,0.8923611111111112
1msl,54,esm,1msl_54_esm,0.8888888888888888
1msl,55,esm,1msl_55_esm,0.3715277777777778
1msl,56,esm,1msl_56_esm,0.6111111111111112
1msl,57,esm,1msl_57_esm,0.90625
1msl,58,esm,1msl_58_esm,0.46875
1msl,59,esm,1msl_59_esm,0.4027777777777778
1msl,60,esm,1msl_60_esm,0.625
1msl,61,esm,1msl_61_esm,0.7986111111111112
1msl,62,esm,1msl_62_esm,0.9375
1msl,63,esm,1msl_63_esm,0.4652777777777778
1msl,64,esm,1msl_64_esm,0.6076388888888888
1msl,65,esm,1msl_65_esm,0.9131944444444444
1msl,66,esm,1msl_66_esm,0.9166666666666666
1msl,67,esm,1msl_67_esm,0.9409722222222222
1msl,68,esm,1msl_68_esm,0.40625
1msl,69,esm,1msl_69_esm,0.2361111111111111
1msl,70,esm,1msl_70_esm,0.7847222222222222
1msl,71,esm,1msl_71_esm,0.6284722222222222
1msl,72,esm,1msl_72_esm,0.2708333333333333
1msl,73,esm,1msl_73_esm,0.6388888888888888
1msl,74,esm,1msl_74_esm,0.875
1msl,75,esm,1msl_75_esm,0.6354166666666666
1msl,76,esm,1msl_76_esm,0.8819444444444444
1msl,77,esm,1msl_77_esm,0.7916666666666666
1msl,78,esm,1msl_78_esm,0.4583333333333333
1msl,79,esm,1msl_79_esm,0.7118055555555556
1msl,80,esm,1msl_80_esm,0.9027777777777778
1msl,81,esm,1msl_81_esm,0.8541666666666666
1msl,82,esm,1msl_82_esm,0.3472222222222222
1msl,83,esm,1msl_83_esm,0.5173611111111112
1msl,84,esm,1msl_84_esm,0.9375
1msl,85,esm,1msl_85_esm,0.4340277777777778
1msl,86,esm,1msl_86_esm,0.7916666666666666
1msl,87,esm,1msl_87_esm,0.4409722222222222
1msl,88,esm,1msl_88_esm,0.5798611111111112
1msl,89,esm,1msl_89_esm,0.4722222222222222
1msl,90,esm,1msl_90_esm,0.7465277777777778
1msl,91,esm,1msl_91_esm,0.9097222222222222
1msl,92,esm,1msl_92_esm,0.9201388888888888
1msl,93,esm,1msl_93_esm,0.7743055555555556
1msl,94,esm,1msl_94_esm,0.8541666666666666
1msl,95,esm,1msl_95_esm,0.7847222222222222
1msl,96,esm,1msl_96_esm,0.8368055555555556
1msl,97,esm,1msl_97_esm,0.2881944444444444
1msl,98,esm,1msl_98_esm,0.9097222222222222
1msl,99,esm,1msl_99_esm,0.84375
1msl,100,esm,1msl_100_esm,0.34375
1msl,101,esm,1msl_101_esm,0.9027777777777778
1msl,102,esm,1msl_102_esm,0.3194444444444444
1msl,103,esm,1msl_103_esm,0.9375
1msl,104,esm,1msl_104_esm,0.8368055555555556
1msl,105,esm,1msl_105_esm,0.3888888888888889
1msl,106,esm,1msl_106_esm,0.5520833333333334
1msl,107,esm,1msl_107_esm,0.2951388888888889
1msl,108,esm,1msl_108_esm,0.9166666666666666
1msl,109,esm,1msl_109_esm,0.2951388888888889
1msl,110,esm,1msl_110_esm,0.4097222222222222
1msl,111,esm,1msl_111_esm,0.7361111111111112
