protein,Position sec,Deisgn method,Name,GDT_TS
1msl,0,pmnn,1msl_0_pmnn,0.4236111111111111
1msl,1,pmnn,1msl_1_pmnn,0.6875
1msl,2,pmnn,1msl_2_pmnn,0.8541666666666666
1msl,3,pmnn,1msl_3_pmnn,0.59375
1msl,4,pmnn,1msl_4_pmnn,0.8784722222222222
1msl,5,pmnn,1msl_5_pmnn,0.6319444444444444
1msl,6,pmnn,1msl_6_pmnn,0.8854166666666666
1msl,7,pmnn,1msl_7_pmnn,0.8645833333333334
1msl,8,pmnn,1msl_8_pmnn,0.8680555555555556
1msl,9,pmnn,1msl_9_pmnn,0.8541666666666666
1msl,10,pmnn,1msl_10_pmnn,0.8645833333333334
1msl,11,pmnn,1msl_11_pmnn,0.6180555555555556
1msl,12,pmnn,1msl_12_pmnn,0.6701388888888888
1msl,13,pmnn,1msl_13_pmnn,0.8506944444444444
1msl,14,pmnn,1msl_14_pmnn,0.9166666666666666
1msl,15,pmnn,1msl_15_pmnn,0.5451388888888888
1msl,16,pmnn,1msl_16_pmnn,0.8611111111111112
1msl,17,pmnn,1msl_17_pmnn,0.5902777777777778
1msl,18,pmnn,1msl_18_pmnn,0.4305555555555556
1msl,19,pmnn,1msl_19_pmnn,0.8125
1msl,20,pmnn,1msl_20_pmnn,0.8645833333333334
1msl,21,pmnn,1msl_21_pmnn,0.8715277777777778
1msl,22,pmnn,1msl_22_pmnn,0.8888888888888888
1msl,23,pmnn,1msl_23_pmnn,0.875
1msl,24,pmnn,1msl_24_pmnn,0.8784722222222222
1msl,25,pmnn,1msl_25_pmnn,0.8819444444444444
1msl,26,pmnn,1msl_26_pmnn,0.4548611111111111
1msl,27,pmnn,1msl_27_pmnn,0.4895833333333333
1msl,28,pmnn,1msl_28_pmnn,0.5138888888888888
1msl,29,pmnn,1msl_29_pmnn,0.8576388888888888
1msl,30,pmnn,1msl_30_pmnn,0.8784722222222222
1msl,31,pmnn,1msl_31_pmnn,0.8784722222222222
1msl,32,pmnn,1msl_32_pmnn,0.7430555555555556
1msl,33,pmnn,1msl_33_pmnn,0.8680555555555556
1msl,34,pmnn,1msl_34_pmnn,0.8715277777777778
1msl,35,pmnn,1msl_35_pmnn,0.8576388888888888
1msl,36,pmnn,1msl_36_pmnn,0.8402777777777778
1msl,37,pmnn,1msl_37_pmnn,0.6041666666666666
1msl,38,pmnn,1msl_38_pmnn,0.9513888888888888
1msl,39,pmnn,1msl_39_pmnn,0.8680555555555556
1msl,40,pmnn,1msl_40_pmnn,0.8611111111111112
1msl,41,pmnn,1msl_41_pmnn,0.8645833333333334
1msl,42,pmnn,1msl_42_pmnn,0.8611111111111112
1msl,43,pmnn,1msl_43_pmnn,0.8715277777777778
1msl,44,pmnn,1msl_44_pmnn,0.8645833333333334
1msl,45,pmnn,1msl_45_pmnn,0.6840277777777778
1msl,46,pmnn,1msl_46_pmnn,0.8715277777777778
1msl,47,pmnn,1msl_47_pmnn,0.6875
1msl,48,pmnn,1msl_48_pmnn,0.6041666666666666
1msl,49,pmnn,1msl_49_pmnn,0.8715277777777778
3clq,0,pmnn,3clq_0_pmnn,0.9914772727272728
3clq,1,pmnn,3clq_1_pmnn,0.8267045454545454
3clq,2,pmnn,3clq_2_pmnn,0.6392045454545454
3clq,3,pmnn,3clq_3_pmnn,0.9772727272727272
3clq,4,pmnn,3clq_4_pmnn,0.8068181818181818
3clq,5,pmnn,3clq_5_pmnn,0.9886363636363636
3clq,6,pmnn,3clq_6_pmnn,0.7215909090909091
3clq,7,pmnn,3clq_7_pmnn,0.9829545454545454
3clq,8,pmnn,3clq_8_pmnn,0.6590909090909091
3clq,9,pmnn,3clq_9_pmnn,0.9971590909090908
3clq,10,pmnn,3clq_10_pmnn,0.8380681818181818
3clq,11,pmnn,3clq_11_pmnn,0.8153409090909091
3clq,12,pmnn,3clq_12_pmnn,0.9943181818181818
3clq,13,pmnn,3clq_13_pmnn,0.3267045454545454
3clq,14,pmnn,3clq_14_pmnn,0.3920454545454545
3clq,15,pmnn,3clq_15_pmnn,0.9914772727272728
3clq,16,pmnn,3clq_16_pmnn,0.9943181818181818
3clq,17,pmnn,3clq_17_pmnn,0.9857954545454546
3clq,18,pmnn,3clq_18_pmnn,0.8181818181818182
3clq,19,pmnn,3clq_19_pmnn,0.9346590909090908
3clq,20,pmnn,3clq_20_pmnn,0.9914772727272728
3clq,21,pmnn,3clq_21_pmnn,0.7897727272727273
3clq,22,pmnn,3clq_22_pmnn,0.4375
3clq,23,pmnn,3clq_23_pmnn,0.9914772727272728
3clq,24,pmnn,3clq_24_pmnn,0.6477272727272727
3clq,25,pmnn,3clq_25_pmnn,0.9886363636363636
3clq,26,pmnn,3clq_26_pmnn,0.8323863636363636
3clq,27,pmnn,3clq_27_pmnn,0.3948863636363636
3clq,28,pmnn,3clq_28_pmnn,0.3892045454545454
3clq,29,pmnn,3clq_29_pmnn,0.7755681818181818
3clq,30,pmnn,3clq_30_pmnn,0.2357954545454545
3clq,31,pmnn,3clq_31_pmnn,0.4034090909090909
3clq,32,pmnn,3clq_32_pmnn,0.96875
3clq,33,pmnn,3clq_33_pmnn,0.5596590909090909
3clq,34,pmnn,3clq_34_pmnn,0.9801136363636364
3clq,35,pmnn,3clq_35_pmnn,0.2982954545454545
3clq,36,pmnn,3clq_36_pmnn,0.9857954545454546
