protein,Position sec,Deisgn method,Name,GDT_TS
1msl,0,esm,1msl_0_esm,0.4270833333333333
1msl,1,esm,1msl_1_esm,0.9236111111111112
1msl,2,esm,1msl_2_esm,0.6458333333333334
1msl,3,esm,1msl_3_esm,0.5034722222222222
1msl,4,esm,1msl_4_esm,0.4895833333333333
1msl,5,esm,1msl_5_esm,0.90625
1msl,6,esm,1msl_6_esm,0.5659722222222222
1msl,7,esm,1msl_7_esm,0.8229166666666666
1msl,8,esm,1msl_8_esm,0.6944444444444444
1msl,9,esm,1msl_9_esm,0.90625
1msl,10,esm,1msl_10_esm,0.8819444444444444
1msl,11,esm,1msl_11_esm,0.9236111111111112
1msl,12,esm,1msl_12_esm,0.8993055555555556
1msl,13,esm,1msl_13_esm,0.8854166666666666
1msl,14,esm,1msl_14_esm,0.3020833333333333
1msl,15,esm,1msl_15_esm,0.5138888888888888
1msl,16,esm,1msl_16_esm,0.7326388888888888
1msl,17,esm,1msl_17_esm,0.4618055555555556
1msl,18,esm,1msl_18_esm,0.4791666666666667
1msl,19,esm,1msl_19_esm,0.9340277777777778
1msl,20,esm,1msl_20_esm,0.9166666666666666
1msl,21,esm,1msl_21_esm,0.3645833333333333
1msl,22,esm,1msl_22_esm,0.9236111111111112
1msl,23,esm,1msl_23_esm,0.375
1msl,24,esm,1msl_24_esm,0.4166666666666667
1msl,25,esm,1msl_25_esm,0.4722222222222222
1msl,26,esm,1msl_26_esm,0.4236111111111111
1msl,27,esm,1msl_27_esm,0.5034722222222222
1msl,28,esm,1msl_28_esm,0.7361111111111112
1msl,29,esm,1msl_29_esm,0.8402777777777778
1msl,30,esm,1msl_30_esm,0.9027777777777778
1msl,31,esm,1msl_31_esm,0.9305555555555556
1msl,32,esm,1msl_32_esm,0.8576388888888888
1msl,33,esm,1msl_33_esm,0.7013888888888888
1msl,34,esm,1msl_34_esm,0.9375
1msl,35,esm,1msl_35_esm,0.5347222222222222
1msl,36,esm,1msl_36_esm,0.8854166666666666
1msl,37,esm,1msl_37_esm,0.8854166666666666
1msl,38,esm,1msl_38_esm,0.7777777777777778
1msl,39,esm,1msl_39_esm,0.3055555555555556
1msl,40,esm,1msl_40_esm,0.9131944444444444
1msl,41,esm,1msl_41_esm,0.7534722222222222
1msl,42,esm,1msl_42_esm,0.5034722222222222
1msl,43,esm,1msl_43_esm,0.6319444444444444
1msl,44,esm,1msl_44_esm,0.3784722222222222
1msl,45,esm,1msl_45_esm,0.5
1msl,46,esm,1msl_46_esm,0.4166666666666667
1msl,47,esm,1msl_47_esm,0.8472222222222222
1msl,48,esm,1msl_48_esm,0.9409722222222222
1msl,49,esm,1msl_49_esm,0.7881944444444444
3clq,0,esm,3clq_0_esm,0.3039772727272727
3clq,1,esm,3clq_1_esm,0.7585227272727273
3clq,2,esm,3clq_2_esm,0.96875
3clq,3,esm,3clq_3_esm,0.9744318181818182
3clq,4,esm,3clq_4_esm,0.9772727272727272
3clq,5,esm,3clq_5_esm,0.9744318181818182
3clq,6,esm,3clq_6_esm,0.8125
3clq,7,esm,3clq_7_esm,0.8011363636363636
3clq,8,esm,3clq_8_esm,0.9886363636363636
3clq,9,esm,3clq_9_esm,0.7528409090909091
3clq,10,esm,3clq_10_esm,0.9943181818181818
3clq,11,esm,3clq_11_esm,0.5085227272727273
3clq,12,esm,3clq_12_esm,0.9715909090909092
3clq,13,esm,3clq_13_esm,0.9943181818181818
3clq,14,esm,3clq_14_esm,0.6107954545454546
3clq,15,esm,3clq_15_esm,0.8181818181818182
3clq,16,esm,3clq_16_esm,0.9517045454545454
3clq,17,esm,3clq_17_esm,0.7926136363636364
3clq,18,esm,3clq_18_esm,0.8352272727272727
3clq,19,esm,3clq_19_esm,0.9573863636363636
3clq,20,esm,3clq_20_esm,0.9857954545454546
3clq,21,esm,3clq_21_esm,0.9857954545454546
3clq,22,esm,3clq_22_esm,0.8011363636363636
3clq,23,esm,3clq_23_esm,0.5397727272727273
3clq,24,esm,3clq_24_esm,0.7897727272727273
3clq,25,esm,3clq_25_esm,0.9715909090909092
3clq,26,esm,3clq_26_esm,0.9801136363636364
3clq,27,esm,3clq_27_esm,0.4914772727272727
3clq,28,esm,3clq_28_esm,0.8323863636363636
3clq,29,esm,3clq_29_esm,0.9715909090909092
3clq,30,esm,3clq_30_esm,0.9829545454545454
3clq,31,esm,3clq_31_esm,0.9857954545454546
3clq,32,esm,3clq_32_esm,0.9034090909090908
3clq,33,esm,3clq_33_esm,0.9829545454545454
3clq,34,esm,3clq_34_esm,0.9829545454545454
3clq,35,esm,3clq_35_esm,0.9772727272727272
3clq,36,esm,3clq_36_esm,0.8068181818181818
3clq,37,esm,3clq_37_esm,0.9715909090909092
3clq,38,esm,3clq_38_esm,0.8380681818181818
3clq,39,esm,3clq_39_esm,0.875
3clq,40,esm,3clq_40_esm,0.9431818181818182
3clq,41,esm,3clq_41_esm,0.8238636363636364
3clq,42,esm,3clq_42_esm,0.9829545454545454
3clq,43,esm,3clq_43_esm,0.9971590909090908
3clq,44,esm,3clq_44_esm,0.3835227272727273
3clq,45,esm,3clq_45_esm,0.8096590909090909
3clq,46,esm,3clq_46_esm,0.9971590909090908
3clq,47,esm,3clq_47_esm,0.9346590909090908
3clq,48,esm,3clq_48_esm,0.8352272727272727
3clq,49,esm,3clq_49_esm,0.1278409090909091
1r5l,0,esm,1r5l_0_esm,0.3458333333333333
1r5l,1,esm,1r5l_1_esm,0.4375
1r5l,2,esm,1r5l_2_esm,0.4666666666666667
1r5l,3,esm,1r5l_3_esm,0.4916666666666666
1r5l,4,esm,1r5l_4_esm,0.2875
1r5l,5,esm,1r5l_5_esm,0.3333333333333333
1r5l,6,esm,1r5l_6_esm,0.4083333333333333
1r5l,7,esm,1r5l_7_esm,0.4708333333333333
1r5l,8,esm,1r5l_8_esm,0.4458333333333333
1r5l,9,esm,1r5l_9_esm,0.4416666666666666
