protein,Position sec,Deisgn method,Name,GDT_TS
1msl,0,ps,1msl_0_ps,0.4201388888888889
1msl,1,ps,1msl_1_ps,0.3819444444444444
1msl,2,ps,1msl_2_ps,0.8715277777777778
1msl,3,ps,1msl_3_ps,0.3854166666666667
1msl,4,ps,1msl_4_ps,0.6284722222222222
1msl,5,ps,1msl_5_ps,0.4305555555555556
1msl,6,ps,1msl_6_ps,0.7256944444444444
1msl,7,ps,1msl_7_ps,0.8680555555555556
1msl,8,ps,1msl_8_ps,0.8680555555555556
1msl,9,ps,1msl_9_ps,0.8645833333333334
1msl,10,ps,1msl_10_ps,0.3194444444444444
1msl,11,ps,1msl_11_ps,0.8680555555555556
1msl,12,ps,1msl_12_ps,0.8819444444444444
1msl,13,ps,1msl_13_ps,0.7673611111111112
1msl,14,ps,1msl_14_ps,0.6423611111111112
1msl,15,ps,1msl_15_ps,0.8506944444444444
1msl,16,ps,1msl_16_ps,0.4409722222222222
1msl,17,ps,1msl_17_ps,0.6875
1msl,18,ps,1msl_18_ps,0.8472222222222222
1msl,19,ps,1msl_19_ps,0.3333333333333333
1msl,20,ps,1msl_20_ps,0.8541666666666666
1msl,21,ps,1msl_21_ps,0.8506944444444444
1msl,22,ps,1msl_22_ps,0.3298611111111111
1msl,23,ps,1msl_23_ps,0.4305555555555556
1msl,24,ps,1msl_24_ps,0.2708333333333333
1msl,25,ps,1msl_25_ps,0.3333333333333333
1msl,26,ps,1msl_26_ps,0.8645833333333334
1msl,27,ps,1msl_27_ps,0.5
1msl,28,ps,1msl_28_ps,0.2951388888888889
1msl,29,ps,1msl_29_ps,0.59375
1msl,30,ps,1msl_30_ps,0.7604166666666666
1msl,31,ps,1msl_31_ps,0.8611111111111112
1msl,32,ps,1msl_32_ps,0.875
1msl,33,ps,1msl_33_ps,0.2326388888888889
1msl,34,ps,1msl_34_ps,0.8645833333333334
1msl,35,ps,1msl_35_ps,0.4479166666666667
1msl,36,ps,1msl_36_ps,0.8680555555555556
1msl,37,ps,1msl_37_ps,0.3298611111111111
1msl,38,ps,1msl_38_ps,0.8333333333333334
1msl,39,ps,1msl_39_ps,0.3784722222222222
1msl,40,ps,1msl_40_ps,0.3923611111111111
1msl,41,ps,1msl_41_ps,0.875
1msl,42,ps,1msl_42_ps,0.8923611111111112
1msl,43,ps,1msl_43_ps,0.8541666666666666
1msl,44,ps,1msl_44_ps,0.4444444444444444
1msl,45,ps,1msl_45_ps,0.3715277777777778
1msl,46,ps,1msl_46_ps,0.4027777777777778
1msl,47,ps,1msl_47_ps,0.2881944444444444
1msl,48,ps,1msl_48_ps,0.7465277777777778
1msl,49,ps,1msl_49_ps,0.8993055555555556
3clq,0,ps,3clq_0_ps,0.7982954545454546
3clq,1,ps,3clq_1_ps,0.6619318181818182
3clq,2,ps,3clq_2_ps,0.2528409090909091
3clq,3,ps,3clq_3_ps,0.7045454545454546
3clq,4,ps,3clq_4_ps,0.7982954545454546
3clq,5,ps,3clq_5_ps,0.9886363636363636
3clq,6,ps,3clq_6_ps,0.8096590909090909
3clq,7,ps,3clq_7_ps,0.2556818181818182
3clq,8,ps,3clq_8_ps,0.1505681818181818
3clq,9,ps,3clq_9_ps,0.2471590909090909
3clq,10,ps,3clq_10_ps,0.9744318181818182
3clq,11,ps,3clq_11_ps,0.4630681818181818
3clq,12,ps,3clq_12_ps,0.3181818181818182
3clq,13,ps,3clq_13_ps,0.8096590909090909
3clq,14,ps,3clq_14_ps,0.4801136363636363
3clq,15,ps,3clq_15_ps,0.9602272727272728
3clq,16,ps,3clq_16_ps,0.6448863636363636
3clq,17,ps,3clq_17_ps,0.7642045454545454
3clq,18,ps,3clq_18_ps,0.2840909090909091
3clq,19,ps,3clq_19_ps,0.7954545454545454
3clq,20,ps,3clq_20_ps,0.3892045454545454
3clq,21,ps,3clq_21_ps,0.8153409090909091
3clq,22,ps,3clq_22_ps,0.3579545454545454
3clq,23,ps,3clq_23_ps,0.2897727272727273
3clq,24,ps,3clq_24_ps,0.1761363636363636
3clq,25,ps,3clq_25_ps,0.9715909090909092
3clq,26,ps,3clq_26_ps,0.6278409090909091
3clq,27,ps,3clq_27_ps,0.84375
3clq,28,ps,3clq_28_ps,0.7869318181818182
3clq,29,ps,3clq_29_ps,0.7642045454545454
3clq,30,ps,3clq_30_ps,0.3210227272727273
3clq,31,ps,3clq_31_ps,0.8039772727272727
3clq,32,ps,3clq_32_ps,0.2784090909090909
3clq,33,ps,3clq_33_ps,0.2585227272727273
3clq,34,ps,3clq_34_ps,0.7755681818181818
3clq,35,ps,3clq_35_ps,0.6789772727272727
3clq,36,ps,3clq_36_ps,0.7954545454545454
3clq,37,ps,3clq_37_ps,0.1931818181818181
3clq,38,ps,3clq_38_ps,0.5767045454545454
3clq,39,ps,3clq_39_ps,0.9403409090909092
3clq,40,ps,3clq_40_ps,0.2357954545454545
3clq,41,ps,3clq_41_ps,0.5284090909090909
3clq,42,ps,3clq_42_ps,0.8181818181818182
3clq,43,ps,3clq_43_ps,0.7982954545454546
3clq,44,ps,3clq_44_ps,0.8011363636363636
3clq,45,ps,3clq_45_ps,0.5113636363636364
3clq,46,ps,3clq_46_ps,0.8039772727272727
3clq,47,ps,3clq_47_ps,0.8011363636363636
3clq,48,ps,3clq_48_ps,0.6079545454545454
3clq,49,ps,3clq_49_ps,0.7130681818181818
1r5l,0,ps,1r5l_0_ps,0.3708333333333333
1r5l,1,ps,1r5l_1_ps,0.4125
1r5l,2,ps,1r5l_2_ps,0.4833333333333333
1r5l,3,ps,1r5l_3_ps,0.3666666666666666
1r5l,4,ps,1r5l_4_ps,0.3
1r5l,5,ps,1r5l_5_ps,0.2666666666666666
1r5l,6,ps,1r5l_6_ps,0.4291666666666666
1r5l,7,ps,1r5l_7_ps,0.3291666666666666
1r5l,8,ps,1r5l_8_ps,0.4333333333333333
1r5l,9,ps,1r5l_9_ps,0.2583333333333333
1r5l,10,ps,1r5l_10_ps,0.275
1r5l,11,ps,1r5l_11_ps,0.4625
1r5l,12,ps,1r5l_12_ps,0.3166666666666666
1r5l,13,ps,1r5l_13_ps,0.4416666666666666
1r5l,14,ps,1r5l_14_ps,0.3958333333333333
1r5l,15,ps,1r5l_15_ps,0.4708333333333333
1r5l,16,ps,1r5l_16_ps,0.3875
1r5l,17,ps,1r5l_17_ps,0.3916666666666666
1r5l,18,ps,1r5l_18_ps,0.4166666666666667
1r5l,19,ps,1r5l_19_ps,0.2375
1r5l,20,ps,1r5l_20_ps,0.4208333333333333
1r5l,21,ps,1r5l_21_ps,0.5541666666666667
1r5l,22,ps,1r5l_22_ps,0.3958333333333333
1r5l,23,ps,1r5l_23_ps,0.3958333333333333
1r5l,24,ps,1r5l_24_ps,0.275
1r5l,25,ps,1r5l_25_ps,0.2666666666666666
1r5l,26,ps,1r5l_26_ps,0.3208333333333333
1r5l,27,ps,1r5l_27_ps,0.225
1r5l,28,ps,1r5l_28_ps,0.35
1r5l,29,ps,1r5l_29_ps,0.2291666666666666
1r5l,30,ps,1r5l_30_ps,0.3041666666666666
1r5l,31,ps,1r5l_31_ps,0.4625
1r5l,32,ps,1r5l_32_ps,0.2625
1r5l,33,ps,1r5l_33_ps,0.3083333333333333
1r5l,34,ps,1r5l_34_ps,0.4291666666666666
1r5l,35,ps,1r5l_35_ps,0.2875
1r5l,36,ps,1r5l_36_ps,0.4125
1r5l,37,ps,1r5l_37_ps,0.3208333333333333
1r5l,38,ps,1r5l_38_ps,0.2833333333333333
1r5l,39,ps,1r5l_39_ps,0.4333333333333333
1r5l,40,ps,1r5l_40_ps,0.3041666666666666
1r5l,41,ps,1r5l_41_ps,0.325
1r5l,42,ps,1r5l_42_ps,0.4583333333333333
1r5l,43,ps,1r5l_43_ps,0.4208333333333333
1r5l,44,ps,1r5l_44_ps,0.4208333333333333
1r5l,45,ps,1r5l_45_ps,0.45
1r5l,46,ps,1r5l_46_ps,0.3083333333333333
1r5l,47,ps,1r5l_47_ps,0.5166666666666667
1r5l,48,ps,1r5l_48_ps,0.475
1r5l,49,ps,1r5l_49_ps,0.4708333333333333
2lkm,0,ps,2lkm_0_ps,0.7463235294117647
2lkm,1,ps,2lkm_1_ps,0.9044117647058824
2lkm,2,ps,2lkm_2_ps,0.2352941176470588
2lkm,3,ps,2lkm_3_ps,0.5514705882352942
2lkm,4,ps,2lkm_4_ps,0.8235294117647058
2lkm,5,ps,2lkm_5_ps,0.9117647058823528
2lkm,6,ps,2lkm_6_ps,0.9080882352941176
2lkm,7,ps,2lkm_7_ps,0.8933823529411765
2lkm,8,ps,2lkm_8_ps,0.3933823529411764
2lkm,9,ps,2lkm_9_ps,0.9080882352941176
2lkm,10,ps,2lkm_10_ps,0.2904411764705882
2lkm,11,ps,2lkm_11_ps,0.9264705882352942
2lkm,12,ps,2lkm_12_ps,0.9227941176470588
2lkm,13,ps,2lkm_13_ps,0.3088235294117647
2lkm,14,ps,2lkm_14_ps,0.8713235294117647
2lkm,15,ps,2lkm_15_ps,0.6029411764705882
2lkm,16,ps,2lkm_16_ps,0.6066176470588235
2lkm,17,ps,2lkm_17_ps,0.6323529411764706
2lkm,18,ps,2lkm_18_ps,0.8860294117647058
2lkm,19,ps,2lkm_19_ps,0.4705882352941176
2lkm,20,ps,2lkm_20_ps,0.2867647058823529
2lkm,21,ps,2lkm_21_ps,0.8051470588235294
2lkm,22,ps,2lkm_22_ps,0.9007352941176472
2lkm,23,ps,2lkm_23_ps,0.8308823529411765
2lkm,24,ps,2lkm_24_ps,0.9117647058823528
2lkm,25,ps,2lkm_25_ps,0.8161764705882353
2lkm,26,ps,2lkm_26_ps,0.5294117647058824
2lkm,27,ps,2lkm_27_ps,0.9411764705882352
2lkm,28,ps,2lkm_28_ps,0.8860294117647058
2lkm,29,ps,2lkm_29_ps,0.9080882352941176
2lkm,30,ps,2lkm_30_ps,0.5625
2lkm,31,ps,2lkm_31_ps,0.2279411764705882
2lkm,32,ps,2lkm_32_ps,0.9264705882352942
2lkm,33,ps,2lkm_33_ps,0.9117647058823528
2lkm,34,ps,2lkm_34_ps,0.3419117647058823
2lkm,35,ps,2lkm_35_ps,0.9191176470588236
2lkm,36,ps,2lkm_36_ps,0.3566176470588235
2lkm,37,ps,2lkm_37_ps,0.9411764705882352
2lkm,38,ps,2lkm_38_ps,0.2867647058823529
2lkm,39,ps,2lkm_39_ps,0.875
2lkm,40,ps,2lkm_40_ps,0.9117647058823528
2lkm,41,ps,2lkm_41_ps,0.8676470588235294
2lkm,42,ps,2lkm_42_ps,0.7058823529411765
2lkm,43,ps,2lkm_43_ps,0.8529411764705882
2lkm,44,ps,2lkm_44_ps,0.4595588235294117
2lkm,45,ps,2lkm_45_ps,0.9301470588235294
2lkm,46,ps,2lkm_46_ps,0.5220588235294118
2lkm,47,ps,2lkm_47_ps,0.8602941176470589
2lkm,48,ps,2lkm_48_ps,0.5404411764705882
2lkm,49,ps,2lkm_49_ps,0.9117647058823528
2oar,0,ps,2oar_0_ps,0.2426470588235294
2oar,1,ps,2oar_1_ps,0.25
2oar,2,ps,2oar_2_ps,0.9669117647058824
2oar,3,ps,2oar_3_ps,0.9963235294117648
2oar,4,ps,2oar_4_ps,0.9632352941176472
2oar,5,ps,2oar_5_ps,0.9926470588235294
2oar,6,ps,2oar_6_ps,0.9816176470588236
2oar,7,ps,2oar_7_ps,0.2977941176470588
2oar,8,ps,2oar_8_ps,0.9963235294117648
2oar,9,ps,2oar_9_ps,0.2316176470588235
2oar,10,ps,2oar_10_ps,0.3676470588235294
2oar,11,ps,2oar_11_ps,0.6544117647058824
2oar,12,ps,2oar_12_ps,0.5147058823529411
2oar,13,ps,2oar_13_ps,0.2242647058823529
2oar,14,ps,2oar_14_ps,0.3014705882352941
2oar,15,ps,2oar_15_ps,0.625
2oar,16,ps,2oar_16_ps,0.3492647058823529
2oar,17,ps,2oar_17_ps,0.3970588235294117
