protein,Position sec,Deisgn method,Name,GDT_TS
1msl,0,pmnn,1msl_0_pmnn,4.167886326618506
1msl,1,pmnn,1msl_1_pmnn,2.255198301743771
1msl,2,pmnn,1msl_2_pmnn,1.4293378855291157
1msl,3,pmnn,1msl_3_pmnn,3.028764192690754
1msl,4,pmnn,1msl_4_pmnn,1.3256132821830091
1msl,5,pmnn,1msl_5_pmnn,2.911505628826077
1msl,6,pmnn,1msl_6_pmnn,1.2652791287168028
1msl,7,pmnn,1msl_7_pmnn,1.4281842331459058
1msl,8,pmnn,1msl_8_pmnn,1.369035006597326
1msl,9,pmnn,1msl_9_pmnn,1.4628965102947278
1msl,10,pmnn,1msl_10_pmnn,1.3700000232192235
1msl,11,pmnn,1msl_11_pmnn,2.587350347
1msl,12,pmnn,1msl_12_pmnn,2.382548644530049
1msl,13,pmnn,1msl_13_pmnn,1.329721824759803
1msl,14,pmnn,1msl_14_pmnn,1.0481108776847912
1msl,15,pmnn,1msl_15_pmnn,3.345666639103449
1msl,16,pmnn,1msl_16_pmnn,1.3953892205326928
1msl,17,pmnn,1msl_17_pmnn,2.801214203888344
1msl,18,pmnn,1msl_18_pmnn,4.138201284505164
1msl,19,pmnn,1msl_19_pmnn,1.4698644067187716
1msl,20,pmnn,1msl_20_pmnn,1.3842914955093049
1msl,21,pmnn,1msl_21_pmnn,1.3747829304445638
1msl,22,pmnn,1msl_22_pmnn,1.1247974495981388
1msl,23,pmnn,1msl_23_pmnn,1.2969275161343932
1msl,24,pmnn,1msl_24_pmnn,1.3288742744336093
1msl,25,pmnn,1msl_25_pmnn,1.2557418027284497
1msl,26,pmnn,1msl_26_pmnn,4.133989473787697
1msl,27,pmnn,1msl_27_pmnn,3.697638244176704
1msl,28,pmnn,1msl_28_pmnn,3.3312661754858777
1msl,29,pmnn,1msl_29_pmnn,1.460827538289662
1msl,30,pmnn,1msl_30_pmnn,1.279322997158956
1msl,31,pmnn,1msl_31_pmnn,1.305716327
1msl,32,pmnn,1msl_32_pmnn,1.8654009058421928
1msl,33,pmnn,1msl_33_pmnn,1.3502366772940273
1msl,34,pmnn,1msl_34_pmnn,1.3524048715333634
1msl,35,pmnn,1msl_35_pmnn,1.4356723629634982
1msl,36,pmnn,1msl_36_pmnn,1.3121767402868552
1msl,37,pmnn,1msl_37_pmnn,3.031548082305407
1msl,38,pmnn,1msl_38_pmnn,0.994057323
1msl,39,pmnn,1msl_39_pmnn,1.308850295191022
1msl,40,pmnn,1msl_40_pmnn,1.3576356031936905
1msl,41,pmnn,1msl_41_pmnn,1.4420196321620398
1msl,42,pmnn,1msl_42_pmnn,1.3623984513854444
1msl,43,pmnn,1msl_43_pmnn,1.342199836055507
1msl,44,pmnn,1msl_44_pmnn,1.3854032338956357
1msl,45,pmnn,1msl_45_pmnn,2.4609866505715097
1msl,46,pmnn,1msl_46_pmnn,1.390987982268913
1msl,47,pmnn,1msl_47_pmnn,2.640919204363864
1msl,48,pmnn,1msl_48_pmnn,2.982230045322871
1msl,49,pmnn,1msl_49_pmnn,1.341072658283232
1msl,50,pmnn,1msl_50_pmnn,2.1011770431437027
1msl,51,pmnn,1msl_51_pmnn,1.9730004340827256
1msl,52,pmnn,1msl_52_pmnn,1.2745615361072753
1msl,53,pmnn,1msl_53_pmnn,2.1231914129092977
1msl,54,pmnn,1msl_54_pmnn,1.3249465807656788
1msl,55,pmnn,1msl_55_pmnn,1.466810727269209
1msl,56,pmnn,1msl_56_pmnn,3.4102503377707025
1msl,57,pmnn,1msl_57_pmnn,1.2476468825779865
1msl,58,pmnn,1msl_58_pmnn,1.3634669078191282
1msl,59,pmnn,1msl_59_pmnn,2.990206822897461
1msl,60,pmnn,1msl_60_pmnn,1.3925875032860249
1msl,61,pmnn,1msl_61_pmnn,1.7407053300549014
1msl,62,pmnn,1msl_62_pmnn,1.0013441350644656
1msl,63,pmnn,1msl_63_pmnn,1.2926367634099447
1msl,64,pmnn,1msl_64_pmnn,5.089982587863241
1msl,65,pmnn,1msl_65_pmnn,3.552583168935993
1msl,66,pmnn,1msl_66_pmnn,4.720780206051961
1msl,67,pmnn,1msl_67_pmnn,3.3940667860265945
1msl,68,pmnn,1msl_68_pmnn,1.4045812241998523
1msl,69,pmnn,1msl_69_pmnn,1.896756488883307
1msl,70,pmnn,1msl_70_pmnn,4.013819610690094
1msl,71,pmnn,1msl_71_pmnn,1.0888009439416957
1msl,72,pmnn,1msl_72_pmnn,1.2618795265560363
1msl,73,pmnn,1msl_73_pmnn,3.466126481787249
1msl,74,pmnn,1msl_74_pmnn,1.4780779848334806
1msl,75,pmnn,1msl_75_pmnn,1.1458114159539723
1msl,76,pmnn,1msl_76_pmnn,1.3839915314478377
1msl,77,pmnn,1msl_77_pmnn,1.2863592812401483
1msl,78,pmnn,1msl_78_pmnn,1.322763609354792
1msl,79,pmnn,1msl_79_pmnn,1.119343654700854
1msl,80,pmnn,1msl_80_pmnn,1.4063255383960471
1msl,81,pmnn,1msl_81_pmnn,1.4305703101688363
1msl,82,pmnn,1msl_82_pmnn,1.294737662
1msl,83,pmnn,1msl_83_pmnn,6.185307723401087
1msl,84,pmnn,1msl_84_pmnn,1.9872341967262124
1msl,85,pmnn,1msl_85_pmnn,1.3722761802944254
1msl,86,pmnn,1msl_86_pmnn,1.4088157136173995
1msl,87,pmnn,1msl_87_pmnn,1.9971083028341168
1msl,88,pmnn,1msl_88_pmnn,1.3614846687912217
1msl,89,pmnn,1msl_89_pmnn,3.064461544823032
1msl,90,pmnn,1msl_90_pmnn,2.810398362092814
1msl,91,pmnn,1msl_91_pmnn,1.3169028794589754
1msl,92,pmnn,1msl_92_pmnn,2.8217419271539805
1msl,93,pmnn,1msl_93_pmnn,2.768284172403982
1msl,94,pmnn,1msl_94_pmnn,1.4797115665471685
1msl,95,pmnn,1msl_95_pmnn,1.353039805740632
1msl,96,pmnn,1msl_96_pmnn,1.1768736413394223
1msl,97,pmnn,1msl_97_pmnn,1.4684411844746403
1msl,98,pmnn,1msl_98_pmnn,1.3182733703942866
1msl,99,pmnn,1msl_99_pmnn,1.3588073636630276
1msl,100,pmnn,1msl_100_pmnn,1.3582811595203337
1msl,101,pmnn,1msl_101_pmnn,3.052821220973571
1msl,102,pmnn,1msl_102_pmnn,1.4403631840815576
